VERSION,MODEL,PRICE($)
Iphone 1(4gb),1,499
Iphone 1(8gb),2,599
Iphone 3(8gb),3,199
Iphone 3(16gb),4,299
Iphone 3Gs(8gb),5,99
Iphone 3Gs(16gb),6,199
Iphone 3Gs(32gb),7,299
Iphone 4(16gb),8,199
Iphone 4(32gb),9,299
Iphone 4s(16gb),10,199
Iphone 4s(32gb),11,299
Iphone 4s(64gb),12,399
Iphone 5(16gb),13,199
Iphone 5(32gb),14,299
Iphone 5(64gb),15,399
Iphone 5s(16gb),16,199
Iphone 5c(64gb),17,99
Iphone 6(16gb),18,199
Iphone 6(64gb),19,299
Iphone 6(128gb),20,399
Iphone 6Plus(16gb),21,299
Iphone 6Pus(64gb),22,399
Iphone 6Plus(128gb),23,499
Iphone 6s(16gb),24,199
Iphone 6s(64gb),25,299
Iphone 6(128gb),26,399
Iphone 6s Plus(16gb),27,299
Iphone 6s Plus(64gb),28,399
Iphone 6 Plus(128gb),29,499
Iphone SE(64gb),30,399
Iphone SE(128gb),31,499
Iphone SE(256gb),32,599
Iphone 7(32gb),33,199
Iphone 7(128gb),34,299
Iphone 7(256gb),35,399
Iphone 7plus(32gb),36,319
Iphone 7plus(128gb),37,419
Iphone 7plus(256gb),38,519
Iphone 8(64gb),39,699
Iphone 8(128gb),40,799
Iphone 8(256gb),41,849
Iphone 8plus(64gb),42,799
Iphone 8plus(128gb),43,899
Iphone 8plus(256gb),44,949
Iphone X(64gb),45,549
Iphone X(256gb),46,699
Iphone XS(64gb),47,999
Iphone XS(256gb),48,1149
Iphone XS(512gb),49,1349
Iphone XS Max(64gb),50,1099
Iphone XS Max(256gb),51,1249
Iphone XS Max(512gb),52,1449
Iphone XR(64gb),53,799
Iphone XRMax(128gb),54,899
Iphone 11(64gb),55,699
Iphone 11(128gb),56,749
Iphone 11(256gb),57,849
Iphone 11 PRO Max(64gb),58,1099
Iphone 11 PRO Max(256gb),59,1249
Iphone 11 PRO Max(512gb),60,1449
Iphone 11 PRO(64gb),61,999
Iphone 11 PRO(256gb),62,1149
Iphone 11 PRO(512gb),63,1349
Iphone SE2(64gb),64,399
Iphone SE2(128gb),65,449
Iphone SE2(256gb),66,549
Iphone 12(64gb),67,829
Iphone 12(128gb),68,879
Iphone 12(256gb),69,979
Iphone 12MINI(64gb),70,729
Iphone 12MINI(128gb),71,779
Iphone 12(MINI256gb),72,879
Iphone 11 PRO(128gb),73,999
Iphone 11 PRO(256gb),74,1099
Iphone 11 PRO(512gb),75,1299
Iphone 12 PRO Max(64gb),76,1099
Iphone 12 PRO Max(256gb),77,1199
Iphone 12 PRO Max(512gb),78,1399
